TAIL NO,TYPE,CAPABILITY,ADVANCED,MULTIENGINE,ANNUAL,HOURS
133CZ,Cessna 152,VFR,No,No,2016-04-15,88
811AX,Cessna 152,VFR,No,No,2016-01-22,39
426JQ,Cessna 152,VFR,No,No,2016-07-30,31
684TM,Cessna 172,IFR,No,No,2016-03-20,0
254SE,Cessna 172,IFR,No,No,2016-09-01,0
157ZA,Cessna 172,IFR,No,No,2016-01-29,77
548QR,Cessna 172S,IFR,No,No,2016-10-30,4
217PQ,Cessna 172S,IFR,No,No,2016-05-02,26
446BU,Cessna 182,IFR,Yes,No,2016-10-27,36
385AT,Cessna 206,IFR,Yes,No,2016-05-06,32
738GG,Piper Cherokee 161,VFR,No,No,2016-11-09,50
249SM,Piper Arrow 200,IFR,Yes,No,2016-02-06,0
625LT,Piper Seneca 200T,IFR,Yes,Yes,2016-12-28,0
436MK,Cirrus SR22,IFR,Yes,No,2016-07-23,28
