TAIL NO,IN DATE,OUT DATE,DESCRIPTION
684TM,2018-01-03,2018-01-05,100 hour inspection
157ZA,2018-01-16,2018-01-19,100 hour inspection
426JQ,2018-01-21,2018-01-24,100 hour inspection
217PQ,2018-01-21,2018-01-23,100 hour inspection
811AX,2018-01-22,2018-01-24,annual inspection
133CZ,2018-01-22,2018-01-24,100 hour inspection
254SE,2018-01-25,2018-01-28,100 hour inspection
548QR,2018-01-25,2018-01-27,100 hour inspection
157ZA,2018-01-29,2018-01-31,annual inspection
684TM,2018-01-29,2018-02-01,100 hour inspection
738GG,2018-01-30,2018-02-02,100 hour inspection
249SM,2018-02-06,2018-02-08,annual inspection
217PQ,2018-02-16,2018-02-18,100 hour inspection
426JQ,2018-02-18,2018-02-20,100 hour inspection
548QR,2018-02-18,2018-02-20,100 hour inspection
133CZ,2018-02-19,2018-02-21,100 hour inspection
811AX,2018-02-19,2018-02-22,100 hour inspection
254SE,2018-02-20,2018-02-23,100 hour inspection
684TM,2018-02-22,2018-02-25,100 hour inspection
157ZA,2018-02-25,2018-02-27,100 hour inspection
738GG,2018-03-12,2018-03-14,100 hour inspection
217PQ,2018-03-12,2018-03-14,100 hour inspection
426JQ,2018-03-13,2018-03-15,100 hour inspection
133CZ,2018-03-13,2018-03-16,100 hour inspection
811AX,2018-03-14,2018-03-17,100 hour inspection
548QR,2018-03-16,2018-03-19,100 hour inspection
254SE,2018-03-18,2018-03-20,100 hour inspection
684TM,2018-03-21,2018-03-23,annual inspection
157ZA,2018-03-21,2018-03-24,100 hour inspection
684TM,2018-03-23,2018-03-27,minor repair
426JQ,2018-03-30,2018-04-01,100 hour inspection
133CZ,2018-04-01,2018-04-03,100 hour inspection
811AX,2018-04-03,2018-04-06,100 hour inspection
217PQ,2018-04-07,2018-04-10,100 hour inspection
738GG,2018-04-08,2018-04-10,100 hour inspection
254SE,2018-04-08,2018-04-11,100 hour inspection
738GG,2018-04-10,2018-04-13,minor repair
548QR,2018-04-10,2018-04-12,100 hour inspection
157ZA,2018-04-12,2018-04-14,100 hour inspection
133CZ,2018-04-16,2018-04-19,annual inspection
426JQ,2018-04-17,2018-04-20,100 hour inspection
684TM,2018-04-23,2018-04-26,100 hour inspection
811AX,2018-04-23,2018-04-26,100 hour inspection
133CZ,2018-05-02,2018-05-05,100 hour inspection
217PQ,2018-05-03,2018-05-06,annual inspection
426JQ,2018-05-03,2018-05-06,100 hour inspection
548QR,2018-05-03,2018-05-05,100 hour inspection
254SE,2018-05-03,2018-05-06,100 hour inspection
217PQ,2018-05-06,2018-05-09,minor repair
385AT,2018-05-07,2018-05-10,annual inspection
811AX,2018-05-07,2018-05-10,100 hour inspection
738GG,2018-05-07,2018-05-09,100 hour inspection
157ZA,2018-05-08,2018-05-11,100 hour inspection
133CZ,2018-05-18,2018-05-20,100 hour inspection
426JQ,2018-05-19,2018-05-21,100 hour inspection
684TM,2018-05-22,2018-05-24,100 hour inspection
811AX,2018-05-25,2018-05-28,100 hour inspection
548QR,2018-05-28,2018-05-31,100 hour inspection
254SE,2018-05-30,2018-06-01,100 hour inspection
217PQ,2018-05-31,2018-06-02,100 hour inspection
157ZA,2018-06-02,2018-06-04,100 hour inspection
426JQ,2018-06-03,2018-06-05,100 hour inspection
133CZ,2018-06-04,2018-06-07,100 hour inspection
738GG,2018-06-05,2018-06-08,100 hour inspection
738GG,2018-06-08,2018-06-12,minor repair
811AX,2018-06-11,2018-06-13,100 hour inspection
684TM,2018-06-11,2018-06-14,100 hour inspection
426JQ,2018-06-18,2018-06-20,100 hour inspection
133CZ,2018-06-19,2018-06-22,100 hour inspection
548QR,2018-06-20,2018-06-22,100 hour inspection
217PQ,2018-06-21,2018-06-24,100 hour inspection
254SE,2018-06-21,2018-06-24,100 hour inspection
157ZA,2018-06-21,2018-06-24,100 hour inspection
217PQ,2018-06-24,2018-07-05,medium repair
811AX,2018-06-26,2018-06-29,100 hour inspection
684TM,2018-07-01,2018-07-04,100 hour inspection
426JQ,2018-07-02,2018-07-05,100 hour inspection
133CZ,2018-07-06,2018-07-08,100 hour inspection
811AX,2018-07-10,2018-07-12,100 hour inspection
738GG,2018-07-10,2018-07-13,100 hour inspection
157ZA,2018-07-10,2018-07-12,100 hour inspection
548QR,2018-07-11,2018-07-14,100 hour inspection
254SE,2018-07-12,2018-07-14,100 hour inspection
426JQ,2018-07-16,2018-07-19,100 hour inspection
684TM,2018-07-19,2018-07-22,100 hour inspection
217PQ,2018-07-19,2018-07-22,100 hour inspection
133CZ,2018-07-20,2018-07-22,100 hour inspection
217PQ,2018-07-22,2018-07-30,medium repair
436MK,2018-07-24,2018-07-27,annual inspection
811AX,2018-07-24,2018-07-26,100 hour inspection
157ZA,2018-07-26,2018-07-28,100 hour inspection
