STUDENT,AIRPLANE,INSTUCTOR,TAKEOFF,LANDING,FILED,AREA
S01716,684TM,I053,2019-01-02T12:00:00-05:00,2019-01-02T14:00:00-05:00,VFR,Pattern
S01563,548QR,I076,2019-01-02T12:00:00-05:00,2019-01-02T14:00:00-05:00,VFR,Pattern
S01429,254SE,I061,2019-01-02T12:00:00-05:00,2019-01-02T14:00:00-05:00,VFR,Practice Area
S01258,217PQ,I053,2019-01-02T14:00:00-05:00,2019-01-02T16:00:00-05:00,VFR,Pattern
S01636,684TM,I061,2019-01-02T14:00:00-05:00,2019-01-02T16:00:00-05:00,VFR,Pattern
S01883,426JQ,I076,2019-01-02T14:00:00-05:00,2019-01-02T16:00:00-05:00,VFR,Pattern
S01658,133CZ,I077,2019-01-02T12:00:00-05:00,2019-01-02T14:00:00-05:00,VFR,Practice Area
S01776,811AX,I060,2019-01-02T12:00:00-05:00,2019-01-02T14:00:00-05:00,VFR,Pattern
S01324,217PQ,I032,2019-01-02T12:00:00-05:00,2019-01-02T14:00:00-05:00,VFR,Pattern
S01824,811AX,I060,2019-01-02T14:00:00-05:00,2019-01-02T16:00:00-05:00,VFR,Practice Area
S01963,133CZ,I077,2019-01-02T14:00:00-05:00,2019-01-02T16:00:00-05:00,VFR,Practice Area
S01888,426JQ,I003,2019-01-02T12:00:00-05:00,2019-01-02T14:00:00-05:00,VFR,Practice Area
S01774,738GG,I096,2019-01-02T12:00:00-05:00,2019-01-02T15:00:00-05:00,VFR,Practice Area
S01976,548QR,I032,2019-01-02T14:00:00-05:00,2019-01-02T16:00:00-05:00,VFR,Pattern
S01406,157ZA,I003,2019-01-02T14:00:00-05:00,2019-01-02T16:00:00-05:00,VFR,Pattern
S01051,157ZA,,2019-01-02T12:00:00-05:00,2019-01-02T14:00:00-05:00,IFR,Pattern
S00564,254SE,,2019-01-02T14:00:00-05:00,2019-01-02T16:00:00-05:00,IFR,Pattern
S01415,157ZA,I076,2019-01-03T09:00:00-05:00,2019-01-03T12:00:00-05:00,VFR,Practice Area
S01636,217PQ,I072,2019-01-03T09:00:00-05:00,2019-01-03T12:00:00-05:00,VFR,Practice Area
S01883,426JQ,I072,2019-01-03T12:00:00-05:00,2019-01-03T14:00:00-05:00,VFR,Pattern
S01776,811AX,I076,2019-01-03T12:00:00-05:00,2019-01-03T14:00:00-05:00,VFR,Pattern
S01824,133CZ,I077,2019-01-03T09:00:00-05:00,2019-01-03T11:00:00-05:00,VFR,Pattern
S01963,133CZ,I077,2019-01-03T11:00:00-05:00,2019-01-03T13:00:00-05:00,VFR,Pattern
S01888,426JQ,I003,2019-01-03T08:00:00-05:00,2019-01-03T10:00:00-05:00,VFR,Pattern
S01834,811AX,I003,2019-01-03T10:00:00-05:00,2019-01-03T12:00:00-05:00,VFR,Pattern
S01540,548QR,I060,2019-01-03T12:00:00-05:00,2019-01-03T14:00:00-05:00,VFR,Pattern
S01774,738GG,I032,2019-01-03T12:00:00-05:00,2019-01-03T14:00:00-05:00,VFR,Pattern
S01654,157ZA,I003,2019-01-03T12:00:00-05:00,2019-01-03T14:00:00-05:00,VFR,Pattern
S01051,684TM,,2019-01-03T08:00:00-05:00,2019-01-03T10:00:00-05:00,IFR,Pattern
S00564,446BU,,2019-01-03T08:00:00-05:00,2019-01-03T11:00:00-05:00,IFR,Practice Area
S01064,254SE,,2019-01-03T08:00:00-05:00,2019-01-03T10:00:00-05:00,IFR,Pattern
S00847,548QR,,2019-01-03T08:00:00-05:00,2019-01-03T10:00:00-05:00,IFR,Pattern
S01415,254SE,I076,2019-01-04T09:00:00-05:00,2019-01-04T11:00:00-05:00,VFR,Pattern
S01563,684TM,I072,2019-01-04T09:00:00-05:00,2019-01-04T11:00:00-05:00,VFR,Practice Area
S01429,157ZA,I076,2019-01-04T11:00:00-05:00,2019-01-04T14:00:00-05:00,VFR,Practice Area
S01824,811AX,I072,2019-01-04T11:00:00-05:00,2019-01-04T13:00:00-05:00,VFR,Pattern
S01963,133CZ,I072,2019-01-04T13:00:00-05:00,2019-01-04T15:00:00-05:00,VFR,Pattern
S01888,811AX,I076,2019-01-04T14:00:00-05:00,2019-01-04T16:00:00-05:00,VFR,Practice Area
S01834,426JQ,I077,2019-01-04T09:00:00-05:00,2019-01-04T11:00:00-05:00,VFR,Practice Area
S01709,133CZ,I097,2019-01-04T09:00:00-05:00,2019-01-04T12:00:00-05:00,VFR,Cross Country
S01891,426JQ,I077,2019-01-04T11:00:00-05:00,2019-01-04T13:00:00-05:00,VFR,Pattern
S01712,426JQ,I077,2019-01-04T13:00:00-05:00,2019-01-04T15:00:00-05:00,VFR,Practice Area
S01741,811AX,I003,2019-01-04T08:00:00-05:00,2019-01-04T10:00:00-05:00,VFR,Pattern
S01806,738GG,I097,2019-01-04T12:00:00-05:00,2019-01-04T14:00:00-05:00,VFR,Pattern
S01685,217PQ,I060,2019-01-04T12:00:00-05:00,2019-01-04T14:00:00-05:00,VFR,Pattern
